time	V(g1)	V(n002)
1.764333497451531e-004	-2.976465e-002	3.076062e-001
1.788327330123352e-004	-2.886932e-002	2.958772e-001
1.827177012816428e-004	-2.613692e-002	2.645203e-001
1.867177012817578e-004	-2.188067e-002	2.180936e-001
1.907177012818728e-004	-1.626201e-002	1.579707e-001
1.947177012819878e-004	-9.621550e-003	8.717482e-002
1.987177012821029e-004	-2.376535e-003	9.704836e-003
2.027177012822179e-004	5.017808e-003	-6.972682e-002
2.067177012823329e-004	1.209686e-002	-1.459461e-001
2.107177012824479e-004	1.841583e-002	-2.136879e-001
2.147177012825630e-004	2.357766e-002	-2.680458e-001
2.187177012826780e-004	2.737713e-002	-3.063629e-001
2.216468021107865e-004	2.919782e-002	-3.230210e-001
2.232964154562644e-004	2.975524e-002	-3.268511e-001
2.248025173461343e-004	2.992533e-002	-3.263444e-001
2.264265961731127e-004	2.976518e-002	-3.217891e-001
2.288217531618564e-004	2.887511e-002	-3.075952e-001
2.327000210984309e-004	2.615293e-002	-2.703919e-001
2.367000210985459e-004	2.190268e-002	-2.167652e-001
2.407000210986610e-004	1.628938e-002	-1.497780e-001
2.447000210987760e-004	9.652557e-003	-7.412098e-002
2.487000210988910e-004	2.409230e-003	5.008523e-003
2.527000210990060e-004	-4.985479e-003	8.248442e-002
2.567000210991211e-004	-1.206693e-002	1.536168e-001
2.607000210992361e-004	-1.839017e-002	2.144033e-001
2.647000210993511e-004	-2.355789e-002	2.616661e-001
2.687000210994661e-004	-2.736324e-002	2.942565e-001
2.716401158058268e-004	-2.919482e-002	3.083203e-001
2.732881093634454e-004	-2.975379e-002	3.115659e-001
2.747912766594141e-004	-2.992489e-002	3.112404e-001
2.764224176430297e-004	-2.976551e-002	3.075743e-001
2.788149596932854e-004	-2.887869e-002	2.959366e-001
2.826890814238148e-004	-2.616281e-002	2.647539e-001
2.866890814239298e-004	-2.191629e-002	2.184239e-001
2.906890814240448e-004	-1.630631e-002	1.583898e-001
2.946890814241598e-004	-9.671737e-003	8.765704e-002
2.986890814242749e-004	-2.429458e-003	1.021871e-002
3.026890814243899e-004	4.965472e-003	-6.921699e-002
3.066890814245049e-004	1.204840e-002	-1.454780e-001
3.106890814246199e-004	1.837429e-002	-2.132983e-001
3.146890814247350e-004	2.354565e-002	-2.677673e-001
3.186890814248500e-004	2.735463e-002	-3.061961e-001
3.216359777424849e-004	2.919296e-002	-3.230328e-001
3.232829687167538e-004	2.975251e-002	-3.268920e-001
3.247918727846688e-004	2.992464e-002	-3.264044e-001
3.264226392438729e-004	2.976549e-002	-3.218490e-001
3.288153199743071e-004	2.887850e-002	-3.076934e-001
3.326896616031583e-004	2.616229e-002	-2.705612e-001
3.366896616032733e-004	2.191557e-002	-2.169687e-001
3.406896616033883e-004	1.630541e-002	-1.500086e-001
3.446896616035033e-004	9.670720e-003	-7.436557e-002
3.486896616036184e-004	2.428385e-003	4.763531e-003
3.526896616037334e-004	-4.966533e-003	8.225180e-002
3.566896616038484e-004	-1.204939e-002	1.534078e-001
3.606896616039634e-004	-1.837513e-002	2.142270e-001
3.646896616040785e-004	-2.354630e-002	2.615294e-001
3.686896616041935e-004	-2.735508e-002	2.941570e-001
3.716361972196935e-004	-2.919306e-002	3.082762e-001
3.732832413714249e-004	-2.975258e-002	3.115289e-001
3.747918411654005e-004	-2.992465e-002	3.112059e-001
3.764226274896032e-004	-2.976549e-002	3.075425e-001
3.788153008636996e-004	-2.887851e-002	2.959033e-001
3.826896308285477e-004	-2.616232e-002	2.647175e-001
3.866896308286627e-004	-2.191560e-002	2.183858e-001
3.906896308287777e-004	-1.630545e-002	1.583501e-001
3.946896308288928e-004	-9.670774e-003	8.761607e-002
3.986896308290078e-004	-2.428442e-003	1.017706e-002
4.026896308291228e-004	4.966477e-003	-6.925859e-002
4.066896308292378e-004	1.204933e-002	-1.455188e-001
4.106896308293528e-004	1.837509e-002	-2.133374e-001
4.146896308294679e-004	2.354627e-002	-2.678040e-001
4.186896308295829e-004	2.735506e-002	-3.062302e-001
4.216361855777784e-004	2.919305e-002	-3.230630e-001
4.232832269090991e-004	2.975258e-002	-3.269216e-001
4.247918428426090e-004	2.992465e-002	-3.264335e-001
4.264226281134320e-004	2.976549e-002	-3.218777e-001
4.288153018783270e-004	2.887851e-002	-3.077217e-001
4.326896324622354e-004	2.616232e-002	-2.705888e-001
4.366896324623504e-004	2.191560e-002	-2.169955e-001
4.406896324624654e-004	1.630545e-002	-1.500344e-001
4.446896324625804e-004	9.670771e-003	-7.439032e-002
4.486896324626954e-004	2.428439e-003	4.739836e-003
4.526896324628105e-004	-4.966480e-003	8.222916e-002
4.566896324629255e-004	-1.204934e-002	1.533861e-001
4.606896324630405e-004	-1.837509e-002	2.142063e-001
4.646896324631555e-004	-2.354627e-002	2.615096e-001
4.686896324632706e-004	-2.735506e-002	2.941379e-001
4.716361861958340e-004	-2.919305e-002	3.082576e-001
4.732832276768129e-004	-2.975258e-002	3.115105e-001
4.747918427536746e-004	-2.992465e-002	3.111876e-001
4.764226280800088e-004	-2.976549e-002	3.075244e-001
4.788153018235875e-004	-2.887851e-002	2.958853e-001
4.826896323741892e-004	-2.616232e-002	2.646997e-001
4.866896323743042e-004	-2.191560e-002	2.183681e-001
4.906896323744192e-004	-1.630545e-002	1.583323e-001
4.946896323745342e-004	-9.670771e-003	8.759827e-002
4.986896323746493e-004	-2.428439e-003	1.015923e-002
5.026896323747643e-004	4.966480e-003	-6.927644e-002
5.066896323748793e-004	1.204934e-002	-1.455366e-001
