time	V(g1)	V(out)
3.301019470575093e-004	-1.783970e-001	1.516473e+000
3.311019470575093e-004	-1.823528e-001	1.526148e+000
3.321019470575094e-004	-1.861287e-001	1.534927e+000
3.331019470575094e-004	-1.897209e-001	1.542861e+000
3.341019470575094e-004	-1.931259e-001	1.550000e+000
3.351019470575094e-004	-1.963403e-001	1.556391e+000
3.361019470575095e-004	-1.993609e-001	1.562081e+000
3.371019470575095e-004	-2.021848e-001	1.567112e+000
3.381019468137595e-004	-2.048092e-001	1.571524e+000
3.391019468137595e-004	-2.072314e-001	1.575355e+000
3.401019468137595e-004	-2.094491e-001	1.578638e+000
3.411019468137596e-004	-2.114601e-001	1.581404e+000
3.421019468137596e-004	-2.132624e-001	1.583680e+000
3.431019468137596e-004	-2.148543e-001	1.585489e+000
3.441019468137596e-004	-2.162341e-001	1.586850e+000
3.451019468137597e-004	-2.174006e-001	1.587777e+000
3.461019468137597e-004	-2.183524e-001	1.588281e+000
3.471019468137597e-004	-2.190888e-001	1.588369e+000
3.481019468137597e-004	-2.196090e-001	1.588041e+000
3.491019468137598e-004	-2.199125e-001	1.587296e+000
3.501019468137598e-004	-2.199989e-001	1.586126e+000
3.511019468137598e-004	-2.198682e-001	1.584520e+000
3.521019468137598e-004	-2.195205e-001	1.582461e+000
3.531019468137599e-004	-2.189562e-001	1.579929e+000
3.541019468137599e-004	-2.181758e-001	1.576899e+000
3.551019468137599e-004	-2.171801e-001	1.573342e+000
3.561019468137599e-004	-2.159701e-001	1.569224e+000
3.571019468137600e-004	-2.145469e-001	1.564510e+000
3.581019468137600e-004	-2.129120e-001	1.559157e+000
3.591019468137600e-004	-2.110669e-001	1.553120e+000
3.601019468137600e-004	-2.090136e-001	1.546353e+000
3.611019468137601e-004	-2.067540e-001	1.538803e+000
3.621019468137601e-004	-2.042904e-001	1.530418e+000
3.631019467229708e-004	-2.016252e-001	1.521140e+000
3.641019467229708e-004	-1.987609e-001	1.510910e+000
3.651019467229709e-004	-1.957005e-001	1.499667e+000
3.661019467229709e-004	-1.924470e-001	1.487350e+000
3.671019467229709e-004	-1.890036e-001	1.473895e+000
3.681019467229709e-004	-1.853736e-001	1.459237e+000
3.691019467229710e-004	-1.815607e-001	1.443310e+000
3.701019467229710e-004	-1.775687e-001	1.426051e+000
3.711019467229710e-004	-1.734014e-001	1.407393e+000
3.721019467229710e-004	-1.690629e-001	1.387274e+000
3.731019467229711e-004	-1.645576e-001	1.365630e+000
3.741019467229711e-004	-1.598899e-001	1.342399e+000
3.751019467229711e-004	-1.550645e-001	1.317522e+000
3.761019467229711e-004	-1.500860e-001	1.290943e+000
3.771019467229711e-004	-1.449593e-001	1.262606e+000
3.781019467229712e-004	-1.396897e-001	1.232462e+000
3.791019467229712e-004	-1.342821e-001	1.200462e+000
