Freq.	V(out)
1.65576996346951e+002	(8.69098799769709e+000dB,-1.38613792972212e+002°)
1.65958690743754e+002	(8.70092523841316e+000dB,-1.38585074063075e+002°)
1.66341265037015e+002	(8.71088150996370e+000dB,-1.38556382710284e+002°)
1.66724721255104e+002	(8.72085679905623e+000dB,-1.38527719420254e+002°)
1.67109061431069e+002	(8.73085109208598e+000dB,-1.38499084699161e+002°)
1.67494287602642e+002	(8.74086437513579e+000dB,-1.38470479052931e+002°)
1.67880401812254e+002	(8.75089663397614e+000dB,-1.38441902987229e+002°)
1.68267406107045e+002	(8.76094785406579e+000dB,-1.38413357007453e+002°)
1.68655302538872e+002	(8.77101802055127e+000dB,-1.38384841618719e+002°)
1.69044093164324e+002	(8.78110711826751e+000dB,-1.38356357325856e+002°)
1.69433780044731e+002	(8.79121513173773e+000dB,-1.38327904633393e+002°)
1.69824365246172e+002	(8.80134204517378e+000dB,-1.38299484045548e+002°)
1.70215850839493e+002	(8.81148784247621e+000dB,-1.38271096066225e+002°)
1.70608238900310e+002	(8.82165250723454e+000dB,-1.38242741198994e+002°)
1.71001531509027e+002	(8.83183602272748e+000dB,-1.38214419947091e+002°)
1.71395730750840e+002	(8.84203837192294e+000dB,-1.38186132813401e+002°)
1.71790838715757e+002	(8.85225953747845e+000dB,-1.38157880300452e+002°)
1.72186857498599e+002	(8.86249950174140e+000dB,-1.38129662910404e+002°)
1.72583789199018e+002	(8.87275824674917e+000dB,-1.38101481145039e+002°)
1.72981635921508e+002	(8.88303575422950e+000dB,-1.38073335505753e+002°)
1.73380399775412e+002	(8.89333200560053e+000dB,-1.38045226493544e+002°)
1.73780082874935e+002	(8.90364698197124e+000dB,-1.38017154609002e+002°)
1.74180687339159e+002	(8.91398066414176e+000dB,-1.37989120352304e+002°)
1.74582215292048e+002	(8.92433303260359e+000dB,-1.37961124223196e+002°)
1.74984668862463e+002	(8.93470406753975e+000dB,-1.37933166720992e+002°)
1.75388050184174e+002	(8.94509374882544e+000dB,-1.37905248344559e+002°)
1.75792361395867e+002	(8.95550205602797e+000dB,-1.37877369592308e+002°)
1.76197604641161e+002	(8.96592896840725e+000dB,-1.37849530962186e+002°)
1.76603782068614e+002	(8.97637446491627e+000dB,-1.37821732951666e+002°)
1.77010895831740e+002	(8.98683852420118e+000dB,-1.37793976057737e+002°)
1.77418948089014e+002	(8.99732112460177e+000dB,-1.37766260776892e+002°)
1.77827941003890e+002	(9.00782224415180e+000dB,-1.37738587605122e+002°)
1.78237876744807e+002	(9.01834186057941e+000dB,-1.37710957037908e+002°)
1.78648757485203e+002	(9.02887995130742e+000dB,-1.37683369570205e+002°)
1.79060585403527e+002	(9.03943649345380e+000dB,-1.37655825696437e+002°)
1.79473362683250e+002	(9.05001146383206e+000dB,-1.37628325910488e+002°)
1.79887091512876e+002	(9.06060483895150e+000dB,-1.37600870705690e+002°)
1.80301774085954e+002	(9.07121659501784e+000dB,-1.37573460574816e+002°)
1.80717412601090e+002	(9.08184670793353e+000dB,-1.37546096010068e+002°)
1.81134009261958e+002	(9.09249515329826e+000dB,-1.37518777503069e+002°)
1.81551566277311e+002	(9.10316190640911e+000dB,-1.37491505544857e+002°)
1.81970085860996e+002	(9.11384694226145e+000dB,-1.37464280625867e+002°)
1.82389570231961e+002	(9.12455023554906e+000dB,-1.37437103235930e+002°)
1.82810021614272e+002	(9.13527176066472e+000dB,-1.37409973864261e+002°)
1.83231442237119e+002	(9.14601149170065e+000dB,-1.37382892999448e+002°)
1.83653834334832e+002	(9.15676940244893e+000dB,-1.37355861129445e+002°)
1.84077200146893e+002	(9.16754546640231e+000dB,-1.37328878741561e+002°)
1.84501541917945e+002	(9.17833965675424e+000dB,-1.37301946322454e+002°)
1.84926861897805e+002	(9.18915194639956e+000dB,-1.37275064358116e+002°)
1.85353162341478e+002	(9.19998230793527e+000dB,-1.37248233333870e+002°)
1.85780445509167e+002	(9.21083071366059e+000dB,-1.37221453734358e+002°)
1.86208713666284e+002	(9.22169713557800e+000dB,-1.37194726043531e+002°)
1.86637969083464e+002	(9.23258154539332e+000dB,-1.37168050744643e+002°)
1.87068214036577e+002	(9.24348391451652e+000dB,-1.37141428320238e+002°)
1.87499450806739e+002	(9.25440421406216e+000dB,-1.37114859252144e+002°)
1.87931681680324e+002	(9.26534241485020e+000dB,-1.37088344021464e+002°)
1.88364908948977e+002	(9.27629848740619e+000dB,-1.37061883108565e+002°)
1.88799134909627e+002	(9.28727240196205e+000dB,-1.37035476993071e+002°)
1.89234361864495e+002	(9.29826412845668e+000dB,-1.37009126153852e+002°)
1.89670592121112e+002	(9.30927363653657e+000dB,-1.36982831069019e+002°)
1.90107827992327e+002	(9.32030089555633e+000dB,-1.36956592215911e+002°)
1.90546071796322e+002	(9.33134587457929e+000dB,-1.36930410071087e+002°)
1.90985325856621e+002	(9.34240854237815e+000dB,-1.36904285110321e+002°)
1.91425592502106e+002	(9.35348886743573e+000dB,-1.36878217808589e+002°)
1.91866874067026e+002	(9.36458681794540e+000dB,-1.36852208640060e+002°)
1.92309172891013e+002	(9.37570236181171e+000dB,-1.36826258078093e+002°)
1.92752491319091e+002	(9.38683546665133e+000dB,-1.36800366595220e+002°)
1.93196831701689e+002	(9.39798609979342e+000dB,-1.36774534663146e+002°)
1.93642196394658e+002	(9.40915422828032e+000dB,-1.36748762752733e+002°)
1.94088587759275e+002	(9.42033981886842e+000dB,-1.36723051333997e+002°)
1.94536008162263e+002	(9.43154283802864e+000dB,-1.36697400876097e+002°)
1.94984459975802e+002	(9.44276325194721e+000dB,-1.36671811847327e+002°)
1.95433945577536e+002	(9.45400102652633e+000dB,-1.36646284715105e+002°)
1.95884467350596e+002	(9.46525612738477e+000dB,-1.36620819945971e+002°)
1.96336027683602e+002	(9.47652851985892e+000dB,-1.36595418005573e+002°)
1.96788628970681e+002	(9.48781816900293e+000dB,-1.36570079358658e+002°)
1.97242273611482e+002	(9.49912503959014e+000dB,-1.36544804469071e+002°)
1.97696964011183e+002	(9.51044909611312e+000dB,-1.36519593799738e+002°)
1.98152702580507e+002	(9.52179030278490e+000dB,-1.36494447812664e+002°)
1.98609491735734e+002	(9.53314862353951e+000dB,-1.36469366968921e+002°)
1.99067333898716e+002	(9.54452402203263e+000dB,-1.36444351728642e+002°)
1.99526231496885e+002	(9.55591646164260e+000dB,-1.36419402551014e+002°)
1.99986186963271e+002	(9.56732590547086e+000dB,-1.36394519894265e+002°)
2.00447202736513e+002	(9.57875231634315e+000dB,-1.36369704215664e+002°)
2.00909281260870e+002	(9.59019565680980e+000dB,-1.36344955971503e+002°)
2.01372424986236e+002	(9.60165588914689e+000dB,-1.36320275617098e+002°)
2.01836636368153e+002	(9.61313297535673e+000dB,-1.36295663606778e+002°)
2.02301917867824e+002	(9.62462687716897e+000dB,-1.36271120393873e+002°)
2.02768271952125e+002	(9.63613755604116e+000dB,-1.36246646430715e+002°)
2.03235701093619e+002	(9.64766497315958e+000dB,-1.36222242168621e+002°)
2.03704207770569e+002	(9.65920908944017e+000dB,-1.36197908057890e+002°)
2.04173794466950e+002	(9.67076986552926e+000dB,-1.36173644547798e+002°)
2.04644463672464e+002	(9.68234726180440e+000dB,-1.36149452086583e+002°)
2.05116217882553e+002	(9.69394123837515e+000dB,-1.36125331121445e+002°)
2.05589059598411e+002	(9.70555175508402e+000dB,-1.36101282098531e+002°)
2.06062991326997e+002	(9.71717877150725e+000dB,-1.36077305462935e+002°)
2.06538015581050e+002	(9.72882224695564e+000dB,-1.36053401658685e+002°)
2.07014134879101e+002	(9.74048214047535e+000dB,-1.36029571128739e+002°)
2.07491351745488e+002	(9.75215841084883e+000dB,-1.36005814314974e+002°)
2.07969668710366e+002	(9.76385101659576e+000dB,-1.35982131658182e+002°)
2.08449088309726e+002	(9.77555991597374e+000dB,-1.35958523598063e+002°)
2.08929613085401e+002	(9.78728506697935e+000dB,-1.35934990573212e+002°)
2.09411245585086e+002	(9.79902642734872e+000dB,-1.35911533021121e+002°)
2.09893988362349e+002	(9.81078395455890e+000dB,-1.35888151378163e+002°)
2.10377843976644e+002	(9.82255760582817e+000dB,-1.35864846079591e+002°)
2.10862814993325e+002	(9.83434733811742e+000dB,-1.35841617559526e+002°)
2.11348903983661e+002	(9.84615310813081e+000dB,-1.35818466250955e+002°)
2.11836113524847e+002	(9.85797487231665e+000dB,-1.35795392585721e+002°)
2.12324446200018e+002	(9.86981258686849e+000dB,-1.35772396994515e+002°)
2.12813904598268e+002	(9.88166620772581e+000dB,-1.35749479906872e+002°)
2.13304491314654e+002	(9.89353569057509e+000dB,-1.35726641751163e+002°)
2.13796208950220e+002	(9.90542099085065e+000dB,-1.35703882954587e+002°)
2.14289060112002e+002	(9.91732206373565e+000dB,-1.35681203943165e+002°)
2.14783047413050e+002	(9.92923886416295e+000dB,-1.35658605141735e+002°)
2.15278173472434e+002	(9.94117134681607e+000dB,-1.35636086973942e+002°)
2.15774440915263e+002	(9.95311946613004e+000dB,-1.35613649862233e+002°)
2.16271852372698e+002	(9.96508317629275e+000dB,-1.35591294227852e+002°)
2.16770410481966e+002	(9.97706243124517e+000dB,-1.35569020490830e+002°)
2.17270117886371e+002	(9.98905718468296e+000dB,-1.35546829069982e+002°)
2.17770977235312e+002	(1.00010673900571e+001dB,-1.35524720382898e+002°)
2.18272991184296e+002	(1.00130930005749e+001dB,-1.35502694845937e+002°)
