time	V(n002)
3.676270196712773e-005	1.697963e+000
3.716270196712709e-005	1.714659e+000
3.732718399447263e-005	1.715780e+000
3.747931634741179e-005	1.715752e+000
3.767222416617075e-005	1.715717e+000
3.782552451083408e-005	1.715689e+000
3.782599188993305e-005	1.715689e+000
3.782692664813271e-005	1.715689e+000
3.782879616453030e-005	1.715688e+000
3.782926354362927e-005	1.715688e+000
3.783019830182893e-005	1.715688e+000
3.783043199137928e-005	1.715688e+000
3.783049041376600e-005	1.715688e+000
3.783050867076088e-005	1.715688e+000
3.783905398818206e-005	1.715683e+000
3.784759930560324e-005	1.715674e+000
3.785614462302442e-005	1.715659e+000
3.786468994044560e-005	1.715638e+000
3.787323525786679e-005	1.715613e+000
3.788178057528797e-005	1.715582e+000
3.789032589270915e-005	1.715546e+000
3.795015041745641e-005	1.715048e+000
3.806979946694919e-005	1.712178e+000
3.830909756593476e-005	1.693579e+000
3.870909756593412e-005	1.612253e+000
3.910909756593348e-005	1.436675e+000
3.950909756593284e-005	1.123401e+000
3.990909756593219e-005	6.530359e-001
4.030909756593155e-005	3.722249e-002
4.070909756593091e-005	-6.771242e-001
4.110909756593027e-005	-1.413349e+000
4.150909756592963e-005	-2.078854e+000
4.190909756592899e-005	-2.601922e+000
4.217875768722061e-005	-2.837872e+000
4.234712394483343e-005	-2.913415e+000
4.253201610178448e-005	-2.930020e+000
4.270213105511504e-005	-2.882654e+000
4.297879259907919e-005	-2.682454e+000
4.337879259907855e-005	-2.208245e+000
4.377879259907791e-005	-1.572713e+000
4.417879259907727e-005	-8.449745e-001
4.457879259907663e-005	-1.195581e-001
4.497879259907599e-005	5.225906e-001
4.537879259907535e-005	1.027820e+000
4.577879259907471e-005	1.376815e+000
4.617879259907406e-005	1.581775e+000
4.657879259907342e-005	1.690722e+000
4.662879259907313e-005	1.697785e+000
4.672879259907253e-005	1.704742e+000
4.692879259907308e-005	1.712175e+000
4.718615803136865e-005	1.715467e+000
4.735631015123296e-005	1.715797e+000
4.756688727287906e-005	1.715759e+000
4.781008170598455e-005	1.715714e+000
4.781495601935588e-005	1.715713e+000
4.782470464609681e-005	1.715712e+000
4.782500929068241e-005	1.715711e+000
4.782561857985361e-005	1.715711e+000
4.782577090214728e-005	1.715711e+000
4.782607554673288e-005	1.715711e+000
4.782617074816642e-005	1.715711e+000
4.782617291569894e-005	1.715713e+000
4.782617508323146e-005	1.715714e+000
4.782617725076399e-005	1.715714e+000
4.782617941829651e-005	1.715714e+000
4.782618158582903e-005	1.715714e+000
4.782618375336155e-005	1.715713e+000
4.782618592089408e-005	1.715712e+000
4.783732584857850e-005	1.715707e+000
4.784846577626294e-005	1.715692e+000
4.785960570394736e-005	1.715668e+000
4.787074563163179e-005	1.715635e+000
4.788188555931622e-005	1.715592e+000
4.789302548700065e-005	1.715540e+000
4.790416541468508e-005	1.715478e+000
4.798215442861943e-005	1.714556e+000
4.813813245648640e-005	1.708742e+000
4.845008851222209e-005	1.673816e+000
4.885008851222145e-005	1.563881e+000
4.925008851222081e-005	1.343441e+000
4.965008851222016e-005	9.756104e-001
5.005008851221952e-005	4.504573e-001
5.045008851221888e-005	-2.074815e-001
5.085008851221824e-005	-9.395928e-001
5.125008851221760e-005	-1.662355e+000
5.165008851221696e-005	-2.280701e+000
5.205008851221632e-005	-2.742706e+000
