time	V(g1)	V(out)
1.321025197121969e-004	9.020656e-003	-9.098300e-002
1.331025197121969e-004	8.731853e-003	-8.757299e-002
1.341025197121969e-004	8.408589e-003	-8.379997e-002
1.351025197121969e-004	8.052140e-003	-7.968008e-002
1.361025197121969e-004	7.663913e-003	-7.523090e-002
1.371025197121969e-004	7.245440e-003	-7.047138e-002
1.381021601082906e-004	6.798538e-003	-6.542346e-002
1.391021601082906e-004	6.324650e-003	-6.010477e-002
1.401021601082906e-004	5.825802e-003	-5.453945e-002
1.411021601082906e-004	5.303961e-003	-4.875068e-002
1.421021601082906e-004	4.761189e-003	-4.276249e-002
1.431021601082906e-004	4.199625e-003	-3.659963e-002
1.441021601082906e-004	3.621489e-003	-3.028741e-002
1.451021601082906e-004	3.029059e-003	-2.385163e-002
1.461021601082906e-004	2.424676e-003	-1.731842e-002
1.471021601082906e-004	1.810723e-003	-1.071418e-002
1.481021601082906e-004	1.189624e-003	-4.065428e-003
1.491021601082906e-004	5.638303e-004	2.601304e-003
1.501021601082906e-004	-6.418865e-005	9.259565e-003
1.511021601082906e-004	-6.919542e-004	1.588310e-002
1.521021601082906e-004	-1.316989e-003	2.244595e-002
1.531021601082906e-004	-1.936826e-003	2.892257e-002
1.541021601082906e-004	-2.549020e-003	3.528786e-002
1.551021601082906e-004	-3.151153e-003	4.151735e-002
1.561021601082906e-004	-3.740851e-003	4.758720e-002
1.571021601082906e-004	-4.315785e-003	5.347434e-002
1.581021601082906e-004	-4.873686e-003	5.915650e-002
1.591021601082906e-004	-5.412354e-003	6.461234e-002
1.601021601082906e-004	-5.929661e-003	6.982143e-002
1.611021601082906e-004	-6.423567e-003	7.476442e-002
1.621021601082906e-004	-6.892121e-003	7.942300e-002
1.631020261681313e-004	-7.333419e-003	8.377942e-002
1.641020261681313e-004	-7.745836e-003	8.781887e-002
1.651020261681313e-004	-8.127684e-003	9.152599e-002
1.661020261681313e-004	-8.477455e-003	9.488727e-002
1.671020261681313e-004	-8.793769e-003	9.789050e-002
1.681020261681313e-004	-9.075379e-003	1.005248e-001
