#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
1.15E-04,0.880
1.15E-04,0.880
1.15E-04,0.880
1.15E-04,0.900
1.15E-04,0.880
1.16E-04,0.940
1.16E-04,0.900
1.16E-04,0.900
1.16E-04,0.920
1.16E-04,0.900
1.17E-04,0.900
1.17E-04,0.940
1.17E-04,0.940
1.17E-04,0.920
1.17E-04,0.960
1.18E-04,0.980
1.18E-04,0.940
1.18E-04,0.960
1.18E-04,0.960
1.18E-04,0.980
1.19E-04,1.000
1.19E-04,1.000
1.19E-04,0.980
1.19E-04,0.980
1.19E-04,1.020
1.20E-04,1.020
1.20E-04,1.020
1.20E-04,0.980
1.20E-04,1.020
1.20E-04,1.020
1.21E-04,1.060
1.21E-04,1.040
1.21E-04,1.000
1.21E-04,1.060
1.21E-04,1.080
1.22E-04,1.060
1.22E-04,1.080
1.22E-04,1.080
1.22E-04,1.080
1.22E-04,1.080
1.23E-04,1.100
1.23E-04,1.100
1.23E-04,1.080
1.23E-04,1.100
1.23E-04,1.120
1.24E-04,1.100
1.24E-04,1.100
1.24E-04,1.100
1.24E-04,1.100
1.24E-04,1.080
1.25E-04,1.120
1.25E-04,1.120
1.25E-04,1.100
1.25E-04,1.120
1.25E-04,1.160
1.26E-04,1.140
1.26E-04,1.140
1.26E-04,1.140
1.26E-04,1.180
1.26E-04,1.140
1.27E-04,1.180
1.27E-04,1.160
1.27E-04,1.160
1.27E-04,1.180
1.27E-04,1.180
1.28E-04,1.140
1.28E-04,1.220
1.28E-04,1.180
1.28E-04,1.180
1.28E-04,1.160
1.29E-04,1.180
1.29E-04,1.160
1.29E-04,1.160
1.29E-04,1.220
1.29E-04,1.160
1.30E-04,1.200
1.30E-04,1.180
1.30E-04,1.220
1.30E-04,1.220
1.30E-04,1.200
1.31E-04,1.220
1.31E-04,1.200
1.31E-04,1.240
1.31E-04,1.240
1.31E-04,1.240
1.32E-04,1.220
1.32E-04,1.220
1.32E-04,1.240
1.32E-04,1.220
1.32E-04,1.240
1.33E-04,1.240
1.33E-04,1.220
1.33E-04,1.240
1.33E-04,1.220
1.33E-04,1.200
1.34E-04,1.240
1.34E-04,1.260
1.34E-04,1.220
1.34E-04,1.240
1.34E-04,1.260
1.35E-04,1.260
1.35E-04,1.240
1.35E-04,1.260
1.35E-04,1.260
1.35E-04,1.260
1.36E-04,1.280
1.36E-04,1.220
1.36E-04,1.280
1.36E-04,1.260
1.36E-04,1.260
1.37E-04,1.240
1.37E-04,1.260
1.37E-04,1.300
1.37E-04,1.280
1.37E-04,1.240
1.38E-04,1.260
1.38E-04,1.280
1.38E-04,1.260
1.38E-04,1.300
1.38E-04,1.280
1.39E-04,1.280
1.39E-04,1.240
1.39E-04,1.300
1.39E-04,1.280
1.39E-04,1.300
1.40E-04,1.260
1.40E-04,1.260
1.40E-04,1.280
1.40E-04,1.240
1.40E-04,1.280
1.41E-04,1.300
1.41E-04,1.300
1.41E-04,1.340
1.41E-04,1.280
1.41E-04,1.320
1.42E-04,1.320
1.42E-04,1.280
1.42E-04,1.340
1.42E-04,1.320
1.42E-04,1.340
1.43E-04,1.300
1.43E-04,1.280
1.43E-04,1.300
1.43E-04,1.320
1.43E-04,1.300
1.44E-04,1.320
1.44E-04,1.280
1.44E-04,1.300
1.44E-04,1.320
1.44E-04,1.280
1.45E-04,1.320
1.45E-04,1.300
1.45E-04,1.300
1.45E-04,1.300
1.45E-04,1.300
1.46E-04,1.320
1.46E-04,1.300
1.46E-04,1.320
1.46E-04,1.300
1.46E-04,1.320
1.47E-04,1.260
1.47E-04,1.320
1.47E-04,1.320
1.47E-04,1.320
1.47E-04,1.320
1.48E-04,1.340
1.48E-04,1.340
1.48E-04,1.300
1.48E-04,1.300
1.48E-04,1.320
1.49E-04,1.300
1.49E-04,1.320
1.49E-04,1.280
1.49E-04,1.340
1.49E-04,1.300
1.50E-04,1.320
1.50E-04,1.340
1.50E-04,1.340
1.50E-04,1.280
1.50E-04,1.340
1.51E-04,1.320
1.51E-04,1.300
1.51E-04,1.340
1.51E-04,1.320
1.51E-04,1.300
1.52E-04,1.320
1.52E-04,1.320
1.52E-04,1.360
1.52E-04,1.340
1.52E-04,1.260
1.53E-04,1.340
1.53E-04,1.340
1.53E-04,1.340
1.53E-04,1.340
1.53E-04,1.320
1.54E-04,1.340
1.54E-04,1.340
1.54E-04,1.320
1.54E-04,1.300
1.54E-04,1.320
1.55E-04,1.300
1.55E-04,1.340
1.55E-04,1.320
1.55E-04,1.280
1.55E-04,1.320
1.56E-04,1.320
1.56E-04,1.340
1.56E-04,1.300
1.56E-04,1.300
1.56E-04,1.340
1.57E-04,1.300
1.57E-04,1.320
1.57E-04,1.340
1.57E-04,1.300
1.57E-04,1.260
1.58E-04,1.280
1.58E-04,1.340
1.58E-04,1.340
1.58E-04,1.300
1.58E-04,1.300
1.59E-04,1.280
1.59E-04,1.320
1.59E-04,1.320
1.59E-04,1.320
1.59E-04,1.260
1.60E-04,1.320
1.60E-04,1.340
1.60E-04,1.280
1.60E-04,1.260
1.60E-04,1.280
1.61E-04,1.320
1.61E-04,1.280
1.61E-04,1.300
1.61E-04,1.280
1.61E-04,1.300
1.62E-04,1.280
1.62E-04,1.280
1.62E-04,1.280
1.62E-04,1.280
1.62E-04,1.280
1.63E-04,1.280
1.63E-04,1.260
1.63E-04,1.280
1.63E-04,1.280
1.63E-04,1.240
1.64E-04,1.280
1.64E-04,1.240
1.64E-04,1.300
1.64E-04,1.260
1.64E-04,1.260
1.65E-04,1.240
1.65E-04,1.280
1.65E-04,1.240
1.65E-04,1.260
1.65E-04,1.280
1.66E-04,1.240
1.66E-04,1.260
1.66E-04,1.260
1.66E-04,1.260
1.66E-04,1.260
1.67E-04,1.240
1.67E-04,1.220
1.67E-04,1.260
1.67E-04,1.260
1.67E-04,1.260
1.68E-04,1.260
1.68E-04,1.280
1.68E-04,1.240
