#timebase=40000000(ps)
,#voltbase=100000(uV)
2.43E-04,-1.740
2.43E-04,-1.740
2.43E-04,-1.720
2.43E-04,-1.780
2.44E-04,-1.760
2.44E-04,-1.780
2.44E-04,-1.720
2.44E-04,-1.740
2.44E-04,-1.780
2.45E-04,-1.720
2.45E-04,-1.760
2.45E-04,-1.760
2.45E-04,-1.760
2.45E-04,-1.760
2.46E-04,-1.760
2.46E-04,-1.780
2.46E-04,-1.780
2.46E-04,-1.740
2.46E-04,-1.780
2.47E-04,-1.740
2.47E-04,-1.800
2.47E-04,-1.780
2.47E-04,-1.760
2.47E-04,-1.780
2.48E-04,-1.760
2.48E-04,-1.780
2.48E-04,-1.760
2.48E-04,-1.780
2.48E-04,-1.760
2.49E-04,-1.780
2.49E-04,-1.740
2.49E-04,-1.760
2.49E-04,-1.760
2.49E-04,-1.780
2.50E-04,-1.780
2.50E-04,-1.760
2.50E-04,-1.780
2.50E-04,-1.780
2.50E-04,-1.760
2.51E-04,-1.780
2.51E-04,-1.780
2.51E-04,-1.760
2.51E-04,-1.720
2.51E-04,-1.740
2.52E-04,-1.760
2.52E-04,-1.780
2.52E-04,-1.760
2.52E-04,-1.760
2.52E-04,-1.760
2.53E-04,-1.740
2.53E-04,-1.780
2.53E-04,-1.740
2.53E-04,-1.760
2.53E-04,-1.760
2.54E-04,-1.720
2.54E-04,-1.740
2.54E-04,-1.720
2.54E-04,-1.740
2.54E-04,-1.720
2.55E-04,-1.700
2.55E-04,-1.740
2.55E-04,-1.740
2.55E-04,-1.700
2.55E-04,-1.720
2.56E-04,-1.700
2.56E-04,-1.700
2.56E-04,-1.700
2.56E-04,-1.660
2.56E-04,-1.720
2.57E-04,-1.660
2.57E-04,-1.660
2.57E-04,-1.700
2.57E-04,-1.700
2.57E-04,-1.660
2.58E-04,-1.640
2.58E-04,-1.680
2.58E-04,-1.660
2.58E-04,-1.620
2.58E-04,-1.660
2.59E-04,-1.620
2.59E-04,-1.640
2.59E-04,-1.640
2.59E-04,-1.620
2.59E-04,-1.620
2.60E-04,-1.640
2.60E-04,-1.560
2.60E-04,-1.620
2.60E-04,-1.560
2.60E-04,-1.600
2.61E-04,-1.600
2.61E-04,-1.560
2.61E-04,-1.620
2.61E-04,-1.500
2.61E-04,-1.560
2.62E-04,-1.560
2.62E-04,-1.540
2.62E-04,-1.560
2.62E-04,-1.540
2.62E-04,-1.520
2.63E-04,-1.500
2.63E-04,-1.500
2.63E-04,-1.520
2.63E-04,-1.480
2.63E-04,-1.480
2.64E-04,-1.500
2.64E-04,-1.460
2.64E-04,-1.460
2.64E-04,-1.460
2.64E-04,-1.460
2.65E-04,-1.460
2.65E-04,-1.440
2.65E-04,-1.460
2.65E-04,-1.420
2.65E-04,-1.380
2.66E-04,-1.400
2.66E-04,-1.400
2.66E-04,-1.400
2.66E-04,-1.380
2.66E-04,-1.380
2.67E-04,-1.380
2.67E-04,-1.360
2.67E-04,-1.320
2.67E-04,-1.340
2.67E-04,-1.320
2.68E-04,-1.320
2.68E-04,-1.340
2.68E-04,-1.320
2.68E-04,-1.300
2.68E-04,-1.260
2.69E-04,-1.300
2.69E-04,-1.240
2.69E-04,-1.280
2.69E-04,-1.260
2.69E-04,-1.240
2.70E-04,-1.220
2.70E-04,-1.220
2.70E-04,-1.220
2.70E-04,-1.200
2.70E-04,-1.180
2.71E-04,-1.200
2.71E-04,-1.160
2.71E-04,-1.180
2.71E-04,-1.180
2.71E-04,-1.140
2.72E-04,-1.140
2.72E-04,-1.080
2.72E-04,-1.080
2.72E-04,-1.140
2.72E-04,-1.100
2.73E-04,-1.120
2.73E-04,-1.100
2.73E-04,-1.080
2.73E-04,-1.080
2.73E-04,-1.060
2.74E-04,-1.020
2.74E-04,-1.020
2.74E-04,-0.980
2.74E-04,-1.020
2.74E-04,-0.980
2.75E-04,-1.000
2.75E-04,-0.980
2.75E-04,-0.960
2.75E-04,-0.960
2.75E-04,-0.920
2.76E-04,-0.920
2.76E-04,-0.940
2.76E-04,-0.920
2.76E-04,-0.920
2.76E-04,-0.860
2.77E-04,-0.860
2.77E-04,-0.860
2.77E-04,-0.780
2.77E-04,-0.840
2.77E-04,-0.780
2.78E-04,-0.800
2.78E-04,-0.780
2.78E-04,-0.760
2.78E-04,-0.760
2.78E-04,-0.760
2.79E-04,-0.700
2.79E-04,-0.740
2.79E-04,-0.700
2.79E-04,-0.740
2.79E-04,-0.700
2.80E-04,-0.640
2.80E-04,-0.700
2.80E-04,-0.640
2.80E-04,-0.660
2.80E-04,-0.640
2.81E-04,-0.640
2.81E-04,-0.600
2.81E-04,-0.580
2.81E-04,-0.580
2.81E-04,-0.560
2.82E-04,-0.540
2.82E-04,-0.580
2.82E-04,-0.560
2.82E-04,-0.520
2.82E-04,-0.500
2.83E-04,-0.480
2.83E-04,-0.500
2.83E-04,-0.440
2.83E-04,-0.480
2.83E-04,-0.460
2.84E-04,-0.420
2.84E-04,-0.440
2.84E-04,-0.380
2.84E-04,-0.420
2.84E-04,-0.380
2.85E-04,-0.360
2.85E-04,-0.360
2.85E-04,-0.320
2.85E-04,-0.380
2.85E-04,-0.300
2.86E-04,-0.320
2.86E-04,-0.280
2.86E-04,-0.240
2.86E-04,-0.260
2.86E-04,-0.240
2.87E-04,-0.220
2.87E-04,-0.260
2.87E-04,-0.180
2.87E-04,-0.180
2.87E-04,-0.180
2.88E-04,-0.160
2.88E-04,-0.140
2.88E-04,-0.140
2.88E-04,-0.140
2.88E-04,-0.120
2.89E-04,-0.120
2.89E-04,-0.100
2.89E-04,-0.080
2.89E-04,-0.060
2.89E-04,-0.040
2.90E-04,-0.060
2.90E-04,-0.040
2.90E-04,-0.040
2.90E-04,0.000
2.90E-04,-0.040
2.91E-04,0.040
2.91E-04,0.020
2.91E-04,0.040
2.91E-04,0.060
2.91E-04,0.060
2.92E-04,0.080
2.92E-04,0.100
2.92E-04,0.100
2.92E-04,0.100
2.92E-04,0.100
2.93E-04,0.160
2.93E-04,0.140
2.93E-04,0.180
2.93E-04,0.160
2.93E-04,0.120
2.94E-04,0.200
2.94E-04,0.220
2.94E-04,0.240
2.94E-04,0.240
2.94E-04,0.220
2.95E-04,0.240
2.95E-04,0.220
2.95E-04,0.280
2.95E-04,0.280
2.95E-04,0.300
2.96E-04,0.280
2.96E-04,0.300
2.96E-04,0.320
2.96E-04,0.320
2.96E-04,0.320
2.97E-04,0.360
2.97E-04,0.320
2.97E-04,0.360
2.97E-04,0.360
2.97E-04,0.360
2.98E-04,0.420
2.98E-04,0.380
2.98E-04,0.440
2.98E-04,0.440
2.98E-04,0.440
2.99E-04,0.460
2.99E-04,0.480
2.99E-04,0.440
2.99E-04,0.520
2.99E-04,0.520
3.00E-04,0.500
3.00E-04,0.520
3.00E-04,0.540
3.00E-04,0.540
3.00E-04,0.520
3.01E-04,0.560
3.01E-04,0.600
3.01E-04,0.580
3.01E-04,0.600
3.01E-04,0.600
3.02E-04,0.620
3.02E-04,0.600
3.02E-04,0.620
3.02E-04,0.660
3.02E-04,0.640
3.03E-04,0.680
3.03E-04,0.680
3.03E-04,0.680
3.03E-04,0.680
3.03E-04,0.680
3.04E-04,0.700
3.04E-04,0.700
3.04E-04,0.720
3.04E-04,0.720
3.04E-04,0.740
3.05E-04,0.740
3.05E-04,0.760
3.05E-04,0.720
3.05E-04,0.800
3.05E-04,0.760
3.06E-04,0.780
3.06E-04,0.760
3.06E-04,0.800
3.06E-04,0.800
3.06E-04,0.860
3.07E-04,0.820
3.07E-04,0.880
3.07E-04,0.860
3.07E-04,0.860
3.07E-04,0.860
3.08E-04,0.880
3.08E-04,0.900
3.08E-04,0.880
3.08E-04,0.920
3.08E-04,0.920
3.09E-04,0.900
3.09E-04,0.920
3.09E-04,0.940
3.09E-04,0.900
3.09E-04,0.920
3.10E-04,0.920
3.10E-04,0.940
3.10E-04,0.960
3.10E-04,0.920
3.10E-04,0.960
3.11E-04,0.940
3.11E-04,0.940
3.11E-04,0.960
3.11E-04,0.980
3.11E-04,0.980
3.12E-04,1.000
3.12E-04,1.000
3.12E-04,1.000
3.12E-04,1.020
3.12E-04,1.040
3.13E-04,1.020
3.13E-04,1.020
3.13E-04,1.020
3.13E-04,1.080
3.13E-04,1.060
3.14E-04,1.040
3.14E-04,1.060
3.14E-04,1.080
3.14E-04,1.060
3.14E-04,1.080
3.15E-04,1.060
3.15E-04,1.100
3.15E-04,1.100
3.15E-04,1.120
3.15E-04,1.140
3.16E-04,1.120
3.16E-04,1.160
3.16E-04,1.120
3.16E-04,1.100
3.16E-04,1.120
3.17E-04,1.100
3.17E-04,1.120
3.17E-04,1.160
3.17E-04,1.160
3.17E-04,1.140
3.18E-04,1.140
3.18E-04,1.160
3.18E-04,1.160
3.18E-04,1.140
3.18E-04,1.180
3.19E-04,1.140
3.19E-04,1.160
3.19E-04,1.180
3.19E-04,1.180
3.19E-04,1.200
3.20E-04,1.180
3.20E-04,1.200
3.20E-04,1.180
3.20E-04,1.160
3.20E-04,1.200
3.21E-04,1.200
3.21E-04,1.220
3.21E-04,1.220
3.21E-04,1.240
3.21E-04,1.220
3.22E-04,1.200
3.22E-04,1.220
3.22E-04,1.220
3.22E-04,1.260
3.22E-04,1.220
3.23E-04,1.240
3.23E-04,1.240
3.23E-04,1.240
3.23E-04,1.300
3.23E-04,1.260
3.24E-04,1.280
3.24E-04,1.280
3.24E-04,1.260
3.24E-04,1.260
3.24E-04,1.240
3.25E-04,1.260
3.25E-04,1.260
3.25E-04,1.280
3.25E-04,1.260
3.25E-04,1.280
3.26E-04,1.300
3.26E-04,1.280
3.26E-04,1.240
3.26E-04,1.300
3.26E-04,1.280
3.27E-04,1.280
3.27E-04,1.300
3.27E-04,1.280
3.27E-04,1.320
3.27E-04,1.340
3.28E-04,1.320
3.28E-04,1.340
3.28E-04,1.300
3.28E-04,1.300
3.28E-04,1.300
3.29E-04,1.300
3.29E-04,1.320
3.29E-04,1.300
3.29E-04,1.360
3.29E-04,1.340
3.30E-04,1.360
3.30E-04,1.340
3.30E-04,1.360
3.30E-04,1.300
3.30E-04,1.300
3.31E-04,1.340
3.31E-04,1.280
3.31E-04,1.320
3.31E-04,1.300
3.31E-04,1.320
3.32E-04,1.360
3.32E-04,1.340
3.32E-04,1.340
3.32E-04,1.340
3.32E-04,1.380
3.33E-04,1.340
3.33E-04,1.320
3.33E-04,1.360
3.33E-04,1.360
3.33E-04,1.340
3.34E-04,1.360
3.34E-04,1.320
3.34E-04,1.320
3.34E-04,1.360
3.34E-04,1.320
3.35E-04,1.340
3.35E-04,1.340
3.35E-04,1.360
3.35E-04,1.340
3.35E-04,1.340
3.36E-04,1.360
3.36E-04,1.380
3.36E-04,1.340
3.36E-04,1.360
3.36E-04,1.380
3.37E-04,1.380
3.37E-04,1.360
3.37E-04,1.340
3.37E-04,1.380
3.37E-04,1.360
3.38E-04,1.360
3.38E-04,1.380
3.38E-04,1.340
3.38E-04,1.380
3.38E-04,1.340
3.39E-04,1.340
3.39E-04,1.380
3.39E-04,1.340
3.39E-04,1.400
3.39E-04,1.360
3.40E-04,1.360
3.40E-04,1.380
3.40E-04,1.360
3.40E-04,1.320
3.40E-04,1.380
3.41E-04,1.360
3.41E-04,1.380
3.41E-04,1.340
3.41E-04,1.380
3.41E-04,1.380
3.42E-04,1.380
3.42E-04,1.400
3.42E-04,1.360
3.42E-04,1.380
3.42E-04,1.340
3.43E-04,1.360
3.43E-04,1.380
3.43E-04,1.380
3.43E-04,1.360
3.43E-04,1.340
3.44E-04,1.360
3.44E-04,1.380
3.44E-04,1.360
3.44E-04,1.320
3.44E-04,1.360
3.45E-04,1.380
3.45E-04,1.360
3.45E-04,1.400
3.45E-04,1.380
3.45E-04,1.380
3.46E-04,1.340
3.46E-04,1.380
3.46E-04,1.380
3.46E-04,1.380
3.46E-04,1.400
3.47E-04,1.360
3.47E-04,1.360
3.47E-04,1.380
3.47E-04,1.360
3.47E-04,1.340
3.48E-04,1.380
3.48E-04,1.340
3.48E-04,1.340
3.48E-04,1.360
3.48E-04,1.420
3.49E-04,1.380
3.49E-04,1.360
3.49E-04,1.380
3.49E-04,1.360
3.49E-04,1.360
3.50E-04,1.360
3.50E-04,1.360
3.50E-04,1.360
3.50E-04,1.380
3.50E-04,1.360
3.51E-04,1.340
3.51E-04,1.360
3.51E-04,1.360
3.51E-04,1.380
3.51E-04,1.400
3.52E-04,1.380
3.52E-04,1.380
3.52E-04,1.360
3.52E-04,1.400
3.52E-04,1.380
3.53E-04,1.400
3.53E-04,1.400
3.53E-04,1.360
3.53E-04,1.360
3.53E-04,1.380
3.54E-04,1.340
3.54E-04,1.360
3.54E-04,1.360
3.54E-04,1.400
3.54E-04,1.380
3.55E-04,1.380
3.55E-04,1.380
3.55E-04,1.420
3.55E-04,1.340
3.55E-04,1.320
3.56E-04,1.360
3.56E-04,1.360
3.56E-04,1.360
3.56E-04,1.340
3.56E-04,1.340
3.57E-04,1.360
3.57E-04,1.340
3.57E-04,1.360
3.57E-04,1.340
3.57E-04,1.380
3.58E-04,1.380
3.58E-04,1.300
3.58E-04,1.340
3.58E-04,1.360
3.58E-04,1.360
3.59E-04,1.320
3.59E-04,1.360
3.59E-04,1.340
3.59E-04,1.320
3.59E-04,1.320
3.60E-04,1.380
3.60E-04,1.340
3.60E-04,1.360
3.60E-04,1.320
3.60E-04,1.320
3.61E-04,1.340
3.61E-04,1.320
3.61E-04,1.360
3.61E-04,1.360
3.61E-04,1.320
3.62E-04,1.340
3.62E-04,1.340
3.62E-04,1.320
3.62E-04,1.320
3.62E-04,1.360
3.63E-04,1.320
3.63E-04,1.300
3.63E-04,1.300
3.63E-04,1.260
3.63E-04,1.260
3.64E-04,1.300
3.64E-04,1.300
3.64E-04,1.260
3.64E-04,1.300
3.64E-04,1.280
3.65E-04,1.320
3.65E-04,1.260
3.65E-04,1.280
3.65E-04,1.300
3.65E-04,1.320
3.66E-04,1.300
3.66E-04,1.280
3.66E-04,1.280
3.66E-04,1.280
3.66E-04,1.260
3.67E-04,1.280
3.67E-04,1.280
3.67E-04,1.260
3.67E-04,1.300
3.67E-04,1.320
3.68E-04,1.240
3.68E-04,1.260
3.68E-04,1.240
3.68E-04,1.280
3.68E-04,1.220
3.69E-04,1.260
3.69E-04,1.260
3.69E-04,1.260
3.69E-04,1.220
3.69E-04,1.240
3.70E-04,1.220
3.70E-04,1.200
3.70E-04,1.240
3.70E-04,1.220
3.70E-04,1.240
3.71E-04,1.240
3.71E-04,1.240
3.71E-04,1.200
3.71E-04,1.240
3.71E-04,1.240
3.72E-04,1.180
3.72E-04,1.180
3.72E-04,1.200
3.72E-04,1.200
3.72E-04,1.200
3.73E-04,1.180
3.73E-04,1.180
3.73E-04,1.180
3.73E-04,1.180
3.73E-04,1.200
3.74E-04,1.200
3.74E-04,1.180
3.74E-04,1.160
3.74E-04,1.140
3.74E-04,1.140
3.75E-04,1.180
3.75E-04,1.140
3.75E-04,1.140
3.75E-04,1.140
3.75E-04,1.140
3.76E-04,1.140
3.76E-04,1.140
3.76E-04,1.120
3.76E-04,1.140
3.76E-04,1.140
3.77E-04,1.140
3.77E-04,1.120
3.77E-04,1.100
3.77E-04,1.080
3.77E-04,1.080
3.78E-04,1.080
3.78E-04,1.080
3.78E-04,1.100
3.78E-04,1.040
3.78E-04,1.020
3.79E-04,1.080
3.79E-04,1.000
3.79E-04,1.040
3.79E-04,1.000
3.79E-04,1.040
3.80E-04,1.040
3.80E-04,1.020
3.80E-04,1.000
3.80E-04,0.980
3.80E-04,0.960
3.81E-04,1.020
3.81E-04,1.000
3.81E-04,0.980
3.81E-04,0.980
3.81E-04,0.980
3.82E-04,0.940
3.82E-04,0.920
3.82E-04,0.940
3.82E-04,0.940
3.82E-04,0.920
3.83E-04,0.900
3.83E-04,0.900
3.83E-04,0.920
3.83E-04,0.880
3.83E-04,0.920
3.84E-04,0.880
3.84E-04,0.880
3.84E-04,0.880
3.84E-04,0.900
3.84E-04,0.880
3.85E-04,0.860
3.85E-04,0.840
3.85E-04,0.820
3.85E-04,0.820
3.85E-04,0.800
3.86E-04,0.800
3.86E-04,0.840
3.86E-04,0.760
3.86E-04,0.820
3.86E-04,0.760
3.87E-04,0.760
3.87E-04,0.780
3.87E-04,0.780
3.87E-04,0.740
3.87E-04,0.740
3.88E-04,0.740
3.88E-04,0.700
3.88E-04,0.720
3.88E-04,0.720
3.88E-04,0.680
3.89E-04,0.680
3.89E-04,0.660
3.89E-04,0.640
3.89E-04,0.660
3.89E-04,0.660
3.90E-04,0.640
3.90E-04,0.620
3.90E-04,0.620
3.90E-04,0.620
3.90E-04,0.560
3.91E-04,0.620
3.91E-04,0.540
3.91E-04,0.560
3.91E-04,0.540
3.91E-04,0.560
3.92E-04,0.540
3.92E-04,0.540
3.92E-04,0.540
3.92E-04,0.520
3.92E-04,0.480
3.93E-04,0.500
3.93E-04,0.460
3.93E-04,0.480
3.93E-04,0.480
3.93E-04,0.440
3.94E-04,0.420
3.94E-04,0.440
3.94E-04,0.400
3.94E-04,0.380
3.94E-04,0.400
3.95E-04,0.380
3.95E-04,0.340
3.95E-04,0.380
3.95E-04,0.340
3.95E-04,0.340
3.96E-04,0.300
3.96E-04,0.320
3.96E-04,0.280
3.96E-04,0.280
3.96E-04,0.260
3.97E-04,0.260
3.97E-04,0.260
3.97E-04,0.240
3.97E-04,0.240
3.97E-04,0.220
3.98E-04,0.200
3.98E-04,0.220
3.98E-04,0.200
3.98E-04,0.180
3.98E-04,0.140
3.99E-04,0.120
3.99E-04,0.160
3.99E-04,0.080
3.99E-04,0.100
3.99E-04,0.100
4.00E-04,0.060
4.00E-04,0.060
4.00E-04,0.040
4.00E-04,0.040
4.00E-04,0.040
4.01E-04,-0.020
4.01E-04,0.000
4.01E-04,-0.020
4.01E-04,-0.060
4.01E-04,-0.040
4.02E-04,-0.040
4.02E-04,-0.040
4.02E-04,-0.040
4.02E-04,-0.080
4.02E-04,-0.100
4.03E-04,-0.120
4.03E-04,-0.140
4.03E-04,-0.140
4.03E-04,-0.160
4.03E-04,-0.180
4.04E-04,-0.200
4.04E-04,-0.160
4.04E-04,-0.180
4.04E-04,-0.240
4.04E-04,-0.200
4.05E-04,-0.260
4.05E-04,-0.280
4.05E-04,-0.300
4.05E-04,-0.320
4.05E-04,-0.260
4.06E-04,-0.340
4.06E-04,-0.340
4.06E-04,-0.300
4.06E-04,-0.360
4.06E-04,-0.360
4.07E-04,-0.380
4.07E-04,-0.380
4.07E-04,-0.380
4.07E-04,-0.460
4.07E-04,-0.400
4.08E-04,-0.420
4.08E-04,-0.500
4.08E-04,-0.440
4.08E-04,-0.520
4.08E-04,-0.480
4.09E-04,-0.500
4.09E-04,-0.540
4.09E-04,-0.520
4.09E-04,-0.520
4.09E-04,-0.560
4.10E-04,-0.560
4.10E-04,-0.580
4.10E-04,-0.620
4.10E-04,-0.620
4.10E-04,-0.620
4.11E-04,-0.600
4.11E-04,-0.660
4.11E-04,-0.600
4.11E-04,-0.680
4.11E-04,-0.700
4.12E-04,-0.680
4.12E-04,-0.720
4.12E-04,-0.720
4.12E-04,-0.700
4.12E-04,-0.780
4.13E-04,-0.740
4.13E-04,-0.780
4.13E-04,-0.780
4.13E-04,-0.800
4.13E-04,-0.840
4.14E-04,-0.820
4.14E-04,-0.860
4.14E-04,-0.880
4.14E-04,-0.860
4.14E-04,-0.880
4.15E-04,-0.880
4.15E-04,-0.900
4.15E-04,-0.920
4.15E-04,-0.920
4.15E-04,-0.980
4.16E-04,-0.940
4.16E-04,-0.960
4.16E-04,-1.020
4.16E-04,-0.960
4.16E-04,-1.020
4.17E-04,-1.000
4.17E-04,-1.000
4.17E-04,-1.020
4.17E-04,-1.020
4.17E-04,-1.060
4.18E-04,-1.060
4.18E-04,-1.040
4.18E-04,-1.100
4.18E-04,-1.100
4.18E-04,-1.120
4.19E-04,-1.100
4.19E-04,-1.140
4.19E-04,-1.120
4.19E-04,-1.120
4.19E-04,-1.200
4.20E-04,-1.160
4.20E-04,-1.200
4.20E-04,-1.220
4.20E-04,-1.200
4.20E-04,-1.260
4.21E-04,-1.220
4.21E-04,-1.240
4.21E-04,-1.220
4.21E-04,-1.240
4.21E-04,-1.200
4.22E-04,-1.240
4.22E-04,-1.260
4.22E-04,-1.300
4.22E-04,-1.280
4.22E-04,-1.300
4.23E-04,-1.300
4.23E-04,-1.320
4.23E-04,-1.340
4.23E-04,-1.340
4.23E-04,-1.340
4.24E-04,-1.300
4.24E-04,-1.360
4.24E-04,-1.400
4.24E-04,-1.380
4.24E-04,-1.360
4.25E-04,-1.400
4.25E-04,-1.420
4.25E-04,-1.400
4.25E-04,-1.420
4.25E-04,-1.420
4.26E-04,-1.400
4.26E-04,-1.420
4.26E-04,-1.460
4.26E-04,-1.440
4.26E-04,-1.460
4.27E-04,-1.480
4.27E-04,-1.480
4.27E-04,-1.500
4.27E-04,-1.500
4.27E-04,-1.520
4.28E-04,-1.500
4.28E-04,-1.520
4.28E-04,-1.540
4.28E-04,-1.520
4.28E-04,-1.580
4.29E-04,-1.540
4.29E-04,-1.540
4.29E-04,-1.580
4.29E-04,-1.580
4.29E-04,-1.580
4.30E-04,-1.580
4.30E-04,-1.600
4.30E-04,-1.580
4.30E-04,-1.620
4.30E-04,-1.600
4.31E-04,-1.640
4.31E-04,-1.640
4.31E-04,-1.620
4.31E-04,-1.620
4.31E-04,-1.640
4.32E-04,-1.640
4.32E-04,-1.620
4.32E-04,-1.640
4.32E-04,-1.680
4.32E-04,-1.640
4.33E-04,-1.640
4.33E-04,-1.660
4.33E-04,-1.680
4.33E-04,-1.700
4.33E-04,-1.660
4.34E-04,-1.680
4.34E-04,-1.720
4.34E-04,-1.680
4.34E-04,-1.700
4.34E-04,-1.700
4.35E-04,-1.700
4.35E-04,-1.720
4.35E-04,-1.720
4.35E-04,-1.720
4.35E-04,-1.680
4.36E-04,-1.720
4.36E-04,-1.700
4.36E-04,-1.760
4.36E-04,-1.760
4.36E-04,-1.700
4.37E-04,-1.740
4.37E-04,-1.740
4.37E-04,-1.720
4.37E-04,-1.760
4.37E-04,-1.720
4.38E-04,-1.720
4.38E-04,-1.760
4.38E-04,-1.740
4.38E-04,-1.740
4.38E-04,-1.740
4.39E-04,-1.740
4.39E-04,-1.760
4.39E-04,-1.720
4.39E-04,-1.760
4.39E-04,-1.760
4.40E-04,-1.760
4.40E-04,-1.780
4.40E-04,-1.760
4.40E-04,-1.800
4.40E-04,-1.740
4.41E-04,-1.740
4.41E-04,-1.800
4.41E-04,-1.760
4.41E-04,-1.820
4.41E-04,-1.780
4.42E-04,-1.740
4.42E-04,-1.780
4.42E-04,-1.740
4.42E-04,-1.740
4.42E-04,-1.800
4.43E-04,-1.760
4.43E-04,-1.760
4.43E-04,-1.760
4.43E-04,-1.780
4.43E-04,-1.760
4.44E-04,-1.760
4.44E-04,-1.800
4.44E-04,-1.760
4.44E-04,-1.760
4.44E-04,-1.780
4.45E-04,-1.760
4.45E-04,-1.760
4.45E-04,-1.760
4.45E-04,-1.740
4.45E-04,-1.760
4.46E-04,-1.740
4.46E-04,-1.740
4.46E-04,-1.780
4.46E-04,-1.760
4.46E-04,-1.740
4.47E-04,-1.760
4.47E-04,-1.740
4.47E-04,-1.760
4.47E-04,-1.720
4.47E-04,-1.720
4.48E-04,-1.740
4.48E-04,-1.700
4.48E-04,-1.760
4.48E-04,-1.740
4.48E-04,-1.720
4.49E-04,-1.720
4.49E-04,-1.740
4.49E-04,-1.720
4.49E-04,-1.740
4.49E-04,-1.700
4.50E-04,-1.700
4.50E-04,-1.700
4.50E-04,-1.700
4.50E-04,-1.700
4.50E-04,-1.660
4.51E-04,-1.660
4.51E-04,-1.720
4.51E-04,-1.700
4.51E-04,-1.660
4.51E-04,-1.680
4.52E-04,-1.660
4.52E-04,-1.640
4.52E-04,-1.680
4.52E-04,-1.640
4.52E-04,-1.640
4.53E-04,-1.640
4.53E-04,-1.660
4.53E-04,-1.600
4.53E-04,-1.620
4.53E-04,-1.580
4.54E-04,-1.640
4.54E-04,-1.600
4.54E-04,-1.620
4.54E-04,-1.560
4.54E-04,-1.600
4.55E-04,-1.580
4.55E-04,-1.580
4.55E-04,-1.560
4.55E-04,-1.560
4.55E-04,-1.520
4.56E-04,-1.580
4.56E-04,-1.540
4.56E-04,-1.560
4.56E-04,-1.580
4.56E-04,-1.520
4.57E-04,-1.520
4.57E-04,-1.500
4.57E-04,-1.500
4.57E-04,-1.500
4.57E-04,-1.480
4.58E-04,-1.460
4.58E-04,-1.500
4.58E-04,-1.460
4.58E-04,-1.460
4.58E-04,-1.460
4.59E-04,-1.420
4.59E-04,-1.460
4.59E-04,-1.420
4.59E-04,-1.420
4.59E-04,-1.440
4.60E-04,-1.360
4.60E-04,-1.400
4.60E-04,-1.400
4.60E-04,-1.400
4.60E-04,-1.380
4.61E-04,-1.340
4.61E-04,-1.340
4.61E-04,-1.360
4.61E-04,-1.320
4.61E-04,-1.380
4.62E-04,-1.300
4.62E-04,-1.300
4.62E-04,-1.300
4.62E-04,-1.280
4.62E-04,-1.320
4.63E-04,-1.280
4.63E-04,-1.300
4.63E-04,-1.280
4.63E-04,-1.260
4.63E-04,-1.240
4.64E-04,-1.200
4.64E-04,-1.260
4.64E-04,-1.220
4.64E-04,-1.180
4.64E-04,-1.200
4.65E-04,-1.180
4.65E-04,-1.180
4.65E-04,-1.160
4.65E-04,-1.140
4.65E-04,-1.160
4.66E-04,-1.160
4.66E-04,-1.140
4.66E-04,-1.120
4.66E-04,-1.100
4.66E-04,-1.120
4.67E-04,-1.100
4.67E-04,-1.060
4.67E-04,-1.080
4.67E-04,-1.060
4.67E-04,-1.040
4.68E-04,-1.040
4.68E-04,-1.040
4.68E-04,-1.000
4.68E-04,-0.980
4.68E-04,-1.000
4.69E-04,-1.000
4.69E-04,-0.960
4.69E-04,-0.940
4.69E-04,-0.920
4.69E-04,-0.920
4.70E-04,-0.940
4.70E-04,-0.900
4.70E-04,-0.880
4.70E-04,-0.860
4.70E-04,-0.840
4.71E-04,-0.840
4.71E-04,-0.860
4.71E-04,-0.800
4.71E-04,-0.860
4.71E-04,-0.780
4.72E-04,-0.800
4.72E-04,-0.760
4.72E-04,-0.780
4.72E-04,-0.800
4.72E-04,-0.720
4.73E-04,-0.780
4.73E-04,-0.700
4.73E-04,-0.680
4.73E-04,-0.700
4.73E-04,-0.700
4.74E-04,-0.680
4.74E-04,-0.640
4.74E-04,-0.620
4.74E-04,-0.660
4.74E-04,-0.620
4.75E-04,-0.620
4.75E-04,-0.620
4.75E-04,-0.600
4.75E-04,-0.560
4.75E-04,-0.580
4.76E-04,-0.560
4.76E-04,-0.560
4.76E-04,-0.540
4.76E-04,-0.540
4.76E-04,-0.500
4.77E-04,-0.480
4.77E-04,-0.460
4.77E-04,-0.500
4.77E-04,-0.480
4.77E-04,-0.460
4.78E-04,-0.400
4.78E-04,-0.440
4.78E-04,-0.400
4.78E-04,-0.380
4.78E-04,-0.360
4.79E-04,-0.360
4.79E-04,-0.340
4.79E-04,-0.320
4.79E-04,-0.340
4.79E-04,-0.360
4.80E-04,-0.320
4.80E-04,-0.320
4.80E-04,-0.260
4.80E-04,-0.260
4.80E-04,-0.260
4.81E-04,-0.220
4.81E-04,-0.200
4.81E-04,-0.180
4.81E-04,-0.180
4.81E-04,-0.180
4.82E-04,-0.180
4.82E-04,-0.160
4.82E-04,-0.180
4.82E-04,-0.100
4.82E-04,-0.140
4.83E-04,-0.100
4.83E-04,-0.100
4.83E-04,-0.100
4.83E-04,-0.040
4.83E-04,-0.040
4.84E-04,-0.060
4.84E-04,-0.060
4.84E-04,-0.040
4.84E-04,-0.020
4.84E-04,-0.020
4.85E-04,0.020
