#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
1.14E-04,0.940
1.14E-04,0.940
1.14E-04,0.920
1.14E-04,0.940
1.15E-04,0.940
1.15E-04,0.960
1.15E-04,0.940
1.15E-04,0.940
1.15E-04,0.960
1.16E-04,0.960
1.16E-04,0.960
1.16E-04,0.980
1.16E-04,1.040
1.16E-04,1.040
1.17E-04,1.020
1.17E-04,1.000
1.17E-04,1.020
1.17E-04,1.060
1.17E-04,1.020
1.18E-04,1.060
1.18E-04,1.040
1.18E-04,1.060
1.18E-04,1.060
1.18E-04,1.060
1.19E-04,1.060
1.19E-04,1.100
1.19E-04,1.100
1.19E-04,1.100
1.19E-04,1.080
1.20E-04,1.100
1.20E-04,1.100
1.20E-04,1.100
1.20E-04,1.120
1.20E-04,1.120
1.21E-04,1.140
1.21E-04,1.120
1.21E-04,1.140
1.21E-04,1.120
1.21E-04,1.100
1.22E-04,1.160
1.22E-04,1.180
1.22E-04,1.160
1.22E-04,1.200
1.22E-04,1.160
1.23E-04,1.180
1.23E-04,1.160
1.23E-04,1.180
1.23E-04,1.160
1.23E-04,1.180
1.24E-04,1.180
1.24E-04,1.200
1.24E-04,1.160
1.24E-04,1.200
1.24E-04,1.220
1.25E-04,1.220
1.25E-04,1.240
1.25E-04,1.180
1.25E-04,1.200
1.25E-04,1.240
1.26E-04,1.240
1.26E-04,1.200
1.26E-04,1.220
1.26E-04,1.240
1.26E-04,1.240
1.27E-04,1.240
1.27E-04,1.240
1.27E-04,1.240
1.27E-04,1.260
1.27E-04,1.260
1.28E-04,1.280
1.28E-04,1.240
1.28E-04,1.240
1.28E-04,1.280
1.28E-04,1.280
1.29E-04,1.300
1.29E-04,1.280
1.29E-04,1.280
1.29E-04,1.260
1.29E-04,1.280
1.30E-04,1.320
1.30E-04,1.360
1.30E-04,1.320
1.30E-04,1.300
1.30E-04,1.300
1.31E-04,1.340
1.31E-04,1.240
1.31E-04,1.320
1.31E-04,1.320
1.31E-04,1.300
1.32E-04,1.320
1.32E-04,1.340
1.32E-04,1.340
1.32E-04,1.300
1.32E-04,1.320
1.33E-04,1.320
1.33E-04,1.340
1.33E-04,1.340
1.33E-04,1.320
1.33E-04,1.340
1.34E-04,1.340
1.34E-04,1.340
1.34E-04,1.320
1.34E-04,1.360
1.34E-04,1.360
1.35E-04,1.320
1.35E-04,1.360
1.35E-04,1.320
1.35E-04,1.340
1.35E-04,1.320
1.36E-04,1.320
1.36E-04,1.360
1.36E-04,1.360
1.36E-04,1.340
1.36E-04,1.380
1.37E-04,1.340
1.37E-04,1.340
1.37E-04,1.340
